"","Rank","track_name","Artist","Streams","Date"
"1",1,"In My Feelings","Drake",1855383,2018-08-18
"2",2,"SICKO MODE","Travis Scott",1650985,2018-08-18
"3",3,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1616325,2018-08-18
"4",4,"Lucid Dreams","Juice WRLD",1465982,2018-08-18
"5",5,"breathin","Ariana Grande",1433896,2018-08-18
"6",6,"God is a woman","Ariana Grande",1217240,2018-08-18
"7",7,"Nonstop","Drake",1064540,2018-08-18
"8",8,"SAD!","XXXTENTACION",1053074,2018-08-18
"9",9,"Taste (feat. Offset)","Tyga",1046946,2018-08-18
"10",10,"STARGAZING","Travis Scott",1000956,2018-08-18
"11",1,"In My Feelings","Drake",1690484,2018-08-19
"12",2,"SICKO MODE","Travis Scott",1499944,2018-08-19
"13",3,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1478899,2018-08-19
"14",4,"Lucid Dreams","Juice WRLD",1387484,2018-08-19
"15",5,"breathin","Ariana Grande",1302713,2018-08-19
"16",6,"God is a woman","Ariana Grande",1060660,2018-08-19
"17",7,"SAD!","XXXTENTACION",999459,2018-08-19
"18",8,"Nonstop","Drake",956602,2018-08-19
"19",9,"Taste (feat. Offset)","Tyga",956153,2018-08-19
"20",10,"No Brainer","DJ Khaled",910678,2018-08-19
"21",1,"SICKO MODE","Travis Scott",1633548,2018-08-20
"22",2,"In My Feelings","Drake",1578086,2018-08-20
"23",3,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1527815,2018-08-20
"24",4,"Lucid Dreams","Juice WRLD",1451902,2018-08-20
"25",5,"breathin","Ariana Grande",1397564,2018-08-20
"26",6,"God is a woman","Ariana Grande",1135390,2018-08-20
"27",7,"SAD!","XXXTENTACION",1029011,2018-08-20
"28",8,"Nonstop","Drake",995001,2018-08-20
"29",9,"Taste (feat. Offset)","Tyga",986616,2018-08-20
"30",10,"STARGAZING","Travis Scott",978912,2018-08-20
"31",1,"SICKO MODE","Travis Scott",1761099,2018-08-21
"32",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1611838,2018-08-21
"33",3,"In My Feelings","Drake",1580933,2018-08-21
"34",4,"Lucid Dreams","Juice WRLD",1551010,2018-08-21
"35",5,"breathin","Ariana Grande",1326107,2018-08-21
"36",6,"God is a woman","Ariana Grande",1182149,2018-08-21
"37",7,"SAD!","XXXTENTACION",1046975,2018-08-21
"38",8,"Taste (feat. Offset)","Tyga",1034870,2018-08-21
"39",9,"Nonstop","Drake",1021556,2018-08-21
"40",10,"STARGAZING","Travis Scott",1011556,2018-08-21
"41",1,"SICKO MODE","Travis Scott",1756460,2018-08-22
"42",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1623620,2018-08-22
"43",3,"In My Feelings","Drake",1554948,2018-08-22
"44",4,"Lucid Dreams","Juice WRLD",1540917,2018-08-22
"45",5,"breathin","Ariana Grande",1270064,2018-08-22
"46",6,"God is a woman","Ariana Grande",1146955,2018-08-22
"47",7,"SAD!","XXXTENTACION",1061260,2018-08-22
"48",8,"Nonstop","Drake",1039804,2018-08-22
"49",9,"Taste (feat. Offset)","Tyga",1038043,2018-08-22
"50",10,"STARGAZING","Travis Scott",1007601,2018-08-22
"51",1,"SICKO MODE","Travis Scott",1752437,2018-08-23
"52",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1629918,2018-08-23
"53",3,"In My Feelings","Drake",1538593,2018-08-23
"54",4,"Lucid Dreams","Juice WRLD",1524120,2018-08-23
"55",5,"breathin","Ariana Grande",1198265,2018-08-23
"56",6,"God is a woman","Ariana Grande",1137688,2018-08-23
"57",7,"SAD!","XXXTENTACION",1063914,2018-08-23
"58",8,"Nonstop","Drake",1048015,2018-08-23
"59",9,"Taste (feat. Offset)","Tyga",1038815,2018-08-23
"60",10,"STARGAZING","Travis Scott",991746,2018-08-23
"61",1,"SICKO MODE","Travis Scott",1820159,2018-08-24
"62",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1661397,2018-08-24
"63",3,"In My Feelings","Drake",1629503,2018-08-24
"64",4,"Lucid Dreams","Juice WRLD",1525356,2018-08-24
"65",5,"breathin","Ariana Grande",1144828,2018-08-24
"66",6,"Nonstop","Drake",1106027,2018-08-24
"67",7,"God is a woman","Ariana Grande",1087711,2018-08-24
"68",8,"Taste (feat. Offset)","Tyga",1075672,2018-08-24
"69",9,"SAD!","XXXTENTACION",1071258,2018-08-24
"70",10,"STARGAZING","Travis Scott",989598,2018-08-24
"71",1,"SICKO MODE","Travis Scott",1693000,2018-08-25
"72",2,"In My Feelings","Drake",1635010,2018-08-25
"73",3,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1588039,2018-08-25
"74",4,"Lucid Dreams","Juice WRLD",1450461,2018-08-25
"75",5,"Nonstop","Drake",1067077,2018-08-25
"76",6,"Taste (feat. Offset)","Tyga",1054053,2018-08-25
"77",7,"SAD!","XXXTENTACION",1017167,2018-08-25
"78",8,"breathin","Ariana Grande",1012391,2018-08-25
"79",9,"I Like It","Cardi B",958475,2018-08-25
"80",10,"God is a woman","Ariana Grande",958297,2018-08-25
"81",1,"SICKO MODE","Travis Scott",1568167,2018-08-26
"82",2,"In My Feelings","Drake",1505277,2018-08-26
"83",3,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1448304,2018-08-26
"84",4,"Lucid Dreams","Juice WRLD",1381507,2018-08-26
"85",5,"SAD!","XXXTENTACION",975208,2018-08-26
"86",6,"Taste (feat. Offset)","Tyga",967300,2018-08-26
"87",7,"breathin","Ariana Grande",965130,2018-08-26
"88",8,"Nonstop","Drake",964240,2018-08-26
"89",9,"God is a woman","Ariana Grande",903847,2018-08-26
"90",10,"I Like It","Cardi B",882318,2018-08-26
"91",1,"SICKO MODE","Travis Scott",1686169,2018-08-27
"92",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1482161,2018-08-27
"93",3,"Lucid Dreams","Juice WRLD",1430898,2018-08-27
"94",4,"In My Feelings","Drake",1388797,2018-08-27
"95",5,"breathin","Ariana Grande",1000273,2018-08-27
"96",6,"SAD!","XXXTENTACION",999423,2018-08-27
"97",7,"Nonstop","Drake",989727,2018-08-27
"98",8,"Taste (feat. Offset)","Tyga",987142,2018-08-27
"99",9,"Eastside (with Halsey & Khalid)","benny blanco",985802,2018-08-27
"100",10,"God is a woman","Ariana Grande",981160,2018-08-27
"101",1,"SICKO MODE","Travis Scott",1751193,2018-08-28
"102",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1576781,2018-08-28
"103",3,"Lucid Dreams","Juice WRLD",1482751,2018-08-28
"104",4,"In My Feelings","Drake",1410842,2018-08-28
"105",5,"Nonstop","Drake",1029708,2018-08-28
"106",6,"Taste (feat. Offset)","Tyga",1028243,2018-08-28
"107",7,"Happier","Marshmello",1024890,2018-08-28
"108",8,"SAD!","XXXTENTACION",1021230,2018-08-28
"109",9,"Eastside (with Halsey & Khalid)","benny blanco",1015415,2018-08-28
"110",10,"breathin","Ariana Grande",1007489,2018-08-28
"111",1,"SICKO MODE","Travis Scott",1719922,2018-08-29
"112",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1582291,2018-08-29
"113",3,"Lucid Dreams","Juice WRLD",1498690,2018-08-29
"114",4,"In My Feelings","Drake",1387124,2018-08-29
"115",5,"Nonstop","Drake",1048713,2018-08-29
"116",6,"SAD!","XXXTENTACION",1036226,2018-08-29
"117",7,"Taste (feat. Offset)","Tyga",1024405,2018-08-29
"118",8,"Eastside (with Halsey & Khalid)","benny blanco",973117,2018-08-29
"119",9,"Moonlight","XXXTENTACION",961728,2018-08-29
"120",10,"breathin","Ariana Grande",945951,2018-08-29
"121",1,"SICKO MODE","Travis Scott",1733249,2018-08-30
"122",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1594809,2018-08-30
"123",3,"Lucid Dreams","Juice WRLD",1508112,2018-08-30
"124",4,"In My Feelings","Drake",1393466,2018-08-30
"125",5,"Nonstop","Drake",1066580,2018-08-30
"126",6,"SAD!","XXXTENTACION",1048379,2018-08-30
"127",7,"Taste (feat. Offset)","Tyga",1033113,2018-08-30
"128",8,"Happier","Marshmello",973259,2018-08-30
"129",9,"Moonlight","XXXTENTACION",970491,2018-08-30
"130",10,"Eastside (with Halsey & Khalid)","benny blanco",970322,2018-08-30
"131",1,"Lucky You (feat. Joyner Lucas)","Eminem",2638639,2018-08-31
"132",2,"The Ringer","Eminem",2595091,2018-08-31
"133",3,"Greatest","Eminem",1951750,2018-08-31
"134",4,"SICKO MODE","Travis Scott",1770527,2018-08-31
"135",5,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1710466,2018-08-31
"136",6,"Not Alike (feat. Royce Da 5'9)","Eminem",1637176,2018-08-31
"137",7,"Normal","Eminem",1546080,2018-08-31
"138",8,"Kamikaze","Eminem",1521682,2018-08-31
"139",9,"Lucid Dreams","Juice WRLD",1516469,2018-08-31
"140",10,"In My Feelings","Drake",1494015,2018-08-31
"141",1,"Lucky You (feat. Joyner Lucas)","Eminem",2527389,2018-09-01
"142",2,"The Ringer","Eminem",2330879,2018-09-01
"143",3,"Greatest","Eminem",1667995,2018-09-01
"144",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1592257,2018-09-01
"145",5,"SICKO MODE","Travis Scott",1589524,2018-09-01
"146",6,"Not Alike (feat. Royce Da 5'9)","Eminem",1550978,2018-09-01
"147",7,"In My Feelings","Drake",1433818,2018-09-01
"148",8,"Kamikaze","Eminem",1402515,2018-09-01
"149",9,"Lucid Dreams","Juice WRLD",1368702,2018-09-01
"150",10,"Fall","Eminem",1349887,2018-09-01
"151",1,"Lucky You (feat. Joyner Lucas)","Eminem",1993319,2018-09-02
"152",2,"The Ringer","Eminem",1764423,2018-09-02
"153",3,"SICKO MODE","Travis Scott",1405569,2018-09-02
"154",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1401634,2018-09-02
"155",5,"In My Feelings","Drake",1301196,2018-09-02
"156",6,"Lucid Dreams","Juice WRLD",1244534,2018-09-02
"157",7,"Greatest","Eminem",1228286,2018-09-02
"158",8,"Not Alike (feat. Royce Da 5'9)","Eminem",1165688,2018-09-02
"159",9,"Fall","Eminem",1037063,2018-09-02
"160",10,"Kamikaze","Eminem",1035541,2018-09-02
"161",1,"Lucky You (feat. Joyner Lucas)","Eminem",1926850,2018-09-03
"162",2,"The Ringer","Eminem",1667344,2018-09-03
"163",3,"SICKO MODE","Travis Scott",1411157,2018-09-03
"164",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1380583,2018-09-03
"165",5,"Lucid Dreams","Juice WRLD",1278144,2018-09-03
"166",6,"In My Feelings","Drake",1255489,2018-09-03
"167",7,"Greatest","Eminem",1143231,2018-09-03
"168",8,"Not Alike (feat. Royce Da 5'9)","Eminem",1127999,2018-09-03
"169",9,"Fall","Eminem",985803,2018-09-03
"170",10,"Kamikaze","Eminem",970684,2018-09-03
"171",1,"Lucky You (feat. Joyner Lucas)","Eminem",2409739,2018-09-04
"172",2,"The Ringer","Eminem",2036099,2018-09-04
"173",3,"SICKO MODE","Travis Scott",1607325,2018-09-04
"174",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1458644,2018-09-04
"175",5,"Not Alike (feat. Royce Da 5'9)","Eminem",1449373,2018-09-04
"176",6,"Greatest","Eminem",1415180,2018-09-04
"177",7,"Lucid Dreams","Juice WRLD",1327182,2018-09-04
"178",8,"Fall","Eminem",1250574,2018-09-04
"179",9,"Kamikaze","Eminem",1234575,2018-09-04
"180",10,"In My Feelings","Drake",1208398,2018-09-04
"181",1,"Lucky You (feat. Joyner Lucas)","Eminem",2214507,2018-09-05
"182",2,"The Ringer","Eminem",1760295,2018-09-05
"183",3,"SICKO MODE","Travis Scott",1632961,2018-09-05
"184",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1481708,2018-09-05
"185",5,"Lucid Dreams","Juice WRLD",1367808,2018-09-05
"186",6,"Not Alike (feat. Royce Da 5'9)","Eminem",1286215,2018-09-05
"187",7,"Greatest","Eminem",1217675,2018-09-05
"188",8,"In My Feelings","Drake",1205209,2018-09-05
"189",9,"Fall","Eminem",1170014,2018-09-05
"190",10,"Kamikaze","Eminem",1076341,2018-09-05
"191",1,"Lucky You (feat. Joyner Lucas)","Eminem",2006853,2018-09-06
"192",2,"SICKO MODE","Travis Scott",1619135,2018-09-06
"193",3,"The Ringer","Eminem",1516278,2018-09-06
"194",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1456482,2018-09-06
"195",5,"Lucid Dreams","Juice WRLD",1374093,2018-09-06
"196",6,"In My Feelings","Drake",1188494,2018-09-06
"197",7,"Not Alike (feat. Royce Da 5'9)","Eminem",1123694,2018-09-06
"198",8,"Fall","Eminem",1053921,2018-09-06
"199",9,"Nonstop","Drake",1045471,2018-09-06
"200",10,"Greatest","Eminem",1037110,2018-09-06
"201",1,"Lucky You (feat. Joyner Lucas)","Eminem",1847924,2018-09-07
"202",2,"SICKO MODE","Travis Scott",1633739,2018-09-07
"203",3,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1494209,2018-09-07
"204",4,"Lucid Dreams","Juice WRLD",1380277,2018-09-07
"205",5,"The Ringer","Eminem",1347666,2018-09-07
"206",6,"In My Feelings","Drake",1220994,2018-09-07
"207",7,"Nonstop","Drake",1096194,2018-09-07
"208",8,"SAD!","XXXTENTACION",1006781,2018-09-07
"209",9,"Not Alike (feat. Royce Da 5'9)","Eminem",996333,2018-09-07
"210",10,"Taste (feat. Offset)","Tyga",970459,2018-09-07
"211",1,"Lucky You (feat. Joyner Lucas)","Eminem",1527622,2018-09-08
"212",2,"SICKO MODE","Travis Scott",1487045,2018-09-08
"213",3,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1417243,2018-09-08
"214",4,"Self Care","Mac Miller",1337856,2018-09-08
"215",5,"Lucid Dreams","Juice WRLD",1320073,2018-09-08
"216",6,"In My Feelings","Drake",1237666,2018-09-08
"217",7,"I Love It (& Lil Pump)","Kanye West",1187278,2018-09-08
"218",8,"Nonstop","Drake",1045613,2018-09-08
"219",9,"The Ringer","Eminem",1026129,2018-09-08
"220",10,"SAD!","XXXTENTACION",978768,2018-09-08
"221",1,"SICKO MODE","Travis Scott",1291850,2018-09-09
"222",2,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1265068,2018-09-09
"223",3,"I Love It (& Lil Pump)","Kanye West",1251428,2018-09-09
"224",4,"Lucky You (feat. Joyner Lucas)","Eminem",1238847,2018-09-09
"225",5,"Lucid Dreams","Juice WRLD",1224381,2018-09-09
"226",6,"In My Feelings","Drake",1121515,2018-09-09
"227",7,"Nonstop","Drake",930011,2018-09-09
"228",8,"SAD!","XXXTENTACION",922695,2018-09-09
"229",9,"Self Care","Mac Miller",865807,2018-09-09
"230",10,"Moonlight","XXXTENTACION",829170,2018-09-09
"231",1,"I Love It (& Lil Pump)","Kanye West",1611225,2018-09-10
"232",2,"SICKO MODE","Travis Scott",1434850,2018-09-10
"233",3,"Lucky You (feat. Joyner Lucas)","Eminem",1420714,2018-09-10
"234",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1288522,2018-09-10
"235",5,"Lucid Dreams","Juice WRLD",1283489,2018-09-10
"236",6,"In My Feelings","Drake",1062561,2018-09-10
"237",7,"Self Care","Mac Miller",983465,2018-09-10
"238",8,"Nonstop","Drake",974167,2018-09-10
"239",9,"SAD!","XXXTENTACION",961645,2018-09-10
"240",10,"Happier","Marshmello",935810,2018-09-10
"241",1,"I Love It (& Lil Pump)","Kanye West",1837715,2018-09-11
"242",2,"SICKO MODE","Travis Scott",1477573,2018-09-11
"243",3,"Lucky You (feat. Joyner Lucas)","Eminem",1409312,2018-09-11
"244",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1301791,2018-09-11
"245",5,"Lucid Dreams","Juice WRLD",1297092,2018-09-11
"246",6,"In My Feelings","Drake",1082893,2018-09-11
"247",7,"Nonstop","Drake",1008578,2018-09-11
"248",8,"SAD!","XXXTENTACION",966178,2018-09-11
"249",9,"Happier","Marshmello",955045,2018-09-11
"250",10,"Self Care","Mac Miller",917771,2018-09-11
"251",1,"I Love It (& Lil Pump)","Kanye West",1866404,2018-09-12
"252",2,"SICKO MODE","Travis Scott",1519321,2018-09-12
"253",3,"Lucky You (feat. Joyner Lucas)","Eminem",1382981,2018-09-12
"254",4,"Lucid Dreams","Juice WRLD",1345508,2018-09-12
"255",5,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1334586,2018-09-12
"256",6,"In My Feelings","Drake",1102736,2018-09-12
"257",7,"Nonstop","Drake",1050737,2018-09-12
"258",8,"SAD!","XXXTENTACION",1005148,2018-09-12
"259",9,"Moonlight","XXXTENTACION",944090,2018-09-12
"260",10,"Happier","Marshmello",935449,2018-09-12
"261",1,"I Love It (& Lil Pump)","Kanye West",1826642,2018-09-13
"262",2,"SICKO MODE","Travis Scott",1538098,2018-09-13
"263",3,"Lucky You (feat. Joyner Lucas)","Eminem",1397730,2018-09-13
"264",4,"Lucid Dreams","Juice WRLD",1355881,2018-09-13
"265",5,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1338440,2018-09-13
"266",6,"In My Feelings","Drake",1112129,2018-09-13
"267",7,"Nonstop","Drake",1065209,2018-09-13
"268",8,"SAD!","XXXTENTACION",1020883,2018-09-13
"269",9,"Happier","Marshmello",958368,2018-09-13
"270",10,"Moonlight","XXXTENTACION",950532,2018-09-13
"271",1,"I Love It (& Lil Pump)","Kanye West",1942212,2018-09-14
"272",2,"SICKO MODE","Travis Scott",1595560,2018-09-14
"273",3,"Lucky You (feat. Joyner Lucas)","Eminem",1487439,2018-09-14
"274",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1383494,2018-09-14
"275",5,"Lucid Dreams","Juice WRLD",1376013,2018-09-14
"276",6,"In My Feelings","Drake",1142359,2018-09-14
"277",7,"Nonstop","Drake",1045963,2018-09-14
"278",8,"SAD!","XXXTENTACION",1032334,2018-09-14
"279",9,"Wake Up in the Sky","Gucci Mane",1022568,2018-09-14
"280",10,"Moonlight","XXXTENTACION",958142,2018-09-14
"281",1,"I Love It (& Lil Pump)","Kanye West",1804341,2018-09-15
"282",2,"SICKO MODE","Travis Scott",1471976,2018-09-15
"283",3,"Lucky You (feat. Joyner Lucas)","Eminem",1440867,2018-09-15
"284",4,"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine",1334415,2018-09-15
"285",5,"Lucid Dreams","Juice WRLD",1305071,2018-09-15
"286",6,"In My Feelings","Drake",1153377,2018-09-15
"287",7,"Wake Up in the Sky","Gucci Mane",989919,2018-09-15
"288",8,"Nonstop","Drake",976245,2018-09-15
"289",9,"SAD!","XXXTENTACION",974164,2018-09-15
"290",10,"Moonlight","XXXTENTACION",910385,2018-09-15
